ID,grading,exam,mark,ASCI1,ASCI2,ASCI3,ASCI4,ASCI5,ASCI6,ASCI7,ASCI8,AMSC01,AMSC02,AMSC03,AMSC04,AMSC05,AMSC06,AMSC07,AMSC08,AMSC09,AMSC10,AMSC11,AMSC12,AMSC13,AMSC14,AMSC15,AMSC16,AMSC17,AMSC18,AMSC19,AMSC20,AMSC21,AMSC22,AMSC23,AMSC24,AMSC25,AMSC26,AMSC27,AMSC28,EBN1,EBN2,EBN3,EBN4,EBN5,EBP1,EBP2,EBP3,EBP4,MSLQ05,MSLQ06,MSLQ12,MSLQ15,MSLQ20,MSLQ21,MSLQ29,MSLQ31,CSC24,CSC28,CSC20,CSC36,CSC16,CSC40,CSC04,CSC12,CSC32,CSC08,Age ,Major,Year,Year_6_TEXT,Credits ,Work ,FirstGen ,Gender ,Gender ,Race ,Race _8_TEXT
T32,trad,74,A-,3,3,5,2,2,2,2,6,1,4,5,3,1,4,5,5,4,5,4,1,5,5,5,5,5,3,1,4,4,5,5,5,4,1,4,4,1,1,1,1,1,3,5,5,5,4,4,5,4,4,4,4,5,4,2,1,4,5,1,2,4,2,3,19,Pharmacology and Toxicology ,2,,0,0,0,I am a woman,9,7,
T33,trad,54,C+,7,1,1,7,4,1,7,1,4,3,4,2,1,2,4,5,2,5,2,1,2,5,5,2,4,2,1,3,4,5,3,4,2,1,2,3,4,2,1,2,1,3,5,5,4,3,3,3,3,3,2,3,3,1,5,5,1,1,5,3,3,5,2,20,Forensics Biology,2,,0,0,0,I am a woman,9,"5,7",
T34,trad,62,A-,6,2,3,5,3,2,4,3,1,2,4,1,1,2,3,3,2,3,2,1,3,3,2,2,4,2,1,2,3,2,3,3,2,1,2,3,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,3,5,4,2,3,2,2,3,3,1,22,Mechanical Engineering,5,,0,1,0,I am a woman,9,7,
T35,trad,64,B-,5,3,4,3,2,1,3,4,2,4,4,1,1,3,3,4,2,4,2,1,2,3,3,3,1,1,1,3,3,3,2,5,2,1,3,3,3,1,1,2,3,4,5,5,4,3,4,4,3,3,3,3,3,3,2,1,4,3,1,1,4,2,2,19,Chemical Engineering,2,,0,0,0,I am a man,2,7,
T36,trad,96,A,5,3,2,2,1,2,2,6,3,4,5,1,1,3,1,5,4,5,5,1,3,4,5,4,3,4,1,3,2,4,4,4,1,1,3,4,1,2,1,2,2,2,4,5,4,5,5,5,4,5,5,5,5,5,5,1,5,5,1,2,4,1,3,19,Science,2,,0,1,0,I am a man,2,7,
T37,trad,78,A-,6,1,2,5,4,2,5,4,4,3,4,1,1,2,2,4,2,5,2,1,2,3,5,2,1,2,1,2,1,4,3,3,1,1,2,1,2,1,1,1,2,4,4,5,4,4,3,4,3,4,4,3,4,4,3,2,2,3,2,3,4,2,3,19,biology,2,,0,1,0,I am a woman,9,7,
T38,trad,34,D,5,3,3,5,1,2,2,5,3,3,3,3,2,3,3,4,3,4,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,4,2,2,4,2,4,4,4,4,1,1,1,1,1,1,1,1,2,4,3,1,2,3,1,5,4,1,22,Forensics ,4,,0,0,0,I am a woman,9,4,
T39,trad,48,C,5,4,5,5,3,5,4,3,2,3,5,3,1,3,5,4,4,5,3,2,3,4,4,4,5,4,1,3,4,4,4,5,4,1,3,4,4,2,2,2,2,4,4,4,4,3,3,5,3,3,4,4,4,4,5,3,2,3,4,2,4,3,3,19,Chemistry,2,,0,1,0,I am a woman,9,7,
T40,trad,78,A,5,3,5,3,2,2,3,1,4,4,4,1,1,5,5,5,3,4,3,1,4,5,4,4,4,3,1,4,5,4,4,4,4,1,4,5,2,1,1,1,2,4,5,5,5,5,5,5,5,5,5,4,5,4,4,1,2,4,2,1,4,1,1,21,Biological Engineering,4,,0,1,1,I am a man,2,7,
T41,trad,84,A,5,3,4,3,2,2,1,6,2,4,5,3,1,4,4,3,4,5,4,1,4,2,3,4,4,4,1,4,3,3,4,5,4,1,4,3,1,2,1,1,1,5,5,5,5,4,4,5,5,4,4,4,4,4,2,1,3,4,1,1,5,2,4,19,Biochemistry and Molecular Biology,2,,0,0,0,I am a man,2,7,
T42,trad,78,A,3,3,5,3,2,5,2,6,2,3,4,4,2,5,1,3,4,4,5,2,4,4,3,4,1,2,1,4,1,2,4,4,4,1,3,1,1,1,2,4,2,4,2,5,2,4,3,5,3,4,4,4,5,5,2,1,5,4,1,1,4,2,5,18,Biochemistry,1,,0,0,0,"I am transgender,I am a woman","8,9",7,
T43,trad,40,C,5,3,4,3,3,2,5,5,2,2,5,3,1,3,5,3,2,4,2,1,2,3,4,3,4,3,1,2,3,2,3,4,2,1,4,4,2,2,2,3,2,3,5,5,3,3,3,4,4,3,3,3,4,2,4,2,2,2,2,2,4,3,1,20,Biology,3,,0,1,1,I am a woman,9,7,
T44,trad,60,A,6,5,5,4,3,3,5,4,4,3,5,1,1,2,3,3,1,3,1,2,2,3,3,2,2,2,1,2,2,2,3,4,2,1,3,3,4,1,1,2,1,4,5,4,4,4,3,3,3,3,2,3,3,3,2,2,3,3,2,2,4,2,4,20,Animal Sciences,3,,0,0,1,I am a woman,9,7,
T45,trad,72,A,7,1,1,7,4,1,5,1,2,4,5,3,1,5,2,2,5,5,5,1,2,3,5,2,3,2,2,4,1,3,1,2,4,3,1,5,2,5,4,4,5,3,5,3,2,2,2,4,2,3,2,4,3,2,3,2,3,3,5,3,4,2,3,19,Biology,2,,0,1,1,I am a woman,9,7,
T49,trad,54,B-,5,5,4,4,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,2,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,3,1,4,4,2,2,4,2,4,19,Chemical Engineering,2,,0,0,0,I am a man,2,2,
T47,trad,70,B+,6,5,4,3,4,5,4,4,2,4,5,3,1,4,4,2,3,3,2,1,3,4,1,3,4,4,1,3,3,1,4,4,3,1,3,3,3,1,1,1,1,2,2,5,4,3,3,4,4,4,4,4,4,2,4,1,3,3,2,2,4,3,4,19,Molecular Bio,2,,0,0,0,I am a man,2,7,
T49,trad,54,B-,5,2,2,5,5,5,5,2,3,5,5,2,1,5,5,3,3,5,3,2,5,5,2,4,1,3,1,4,4,2,5,5,4,1,5,5,1,2,2,1,1,4,5,5,4,5,4,5,5,5,5,4,5,4,4,1,4,2,2,1,5,3,1,23,chemical engineering,3,"I changed my major, so by actual time I'm a first semester junior but my class sequence I'm a first semester sophomore.",0,0,0,I am a man,2,7,
T50,trad,56,C,3,5,3,4,2,3,4,5,3,4,4,3,1,3,3,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,1,1,2,1,1,4,5,5,5,3,4,4,3,4,4,4,4,4,2,1,2,3,1,1,4,1,4,20,Pharmacology and Toxicology,3,,0,0,0,"I am gender nonconforming,I am genderqueer or genderfluid","5,6",7,
T51,trad,56,B-,4,4,5,2,2,5,3,5,3,2,2,1,1,2,3,3,2,2,2,1,2,4,4,2,3,1,1,2,3,2,2,4,2,1,2,2,3,2,1,1,3,3,1,4,4,5,4,4,4,4,4,4,3,3,2,1,3,4,1,1,3,2,2,19,Forensic science ,2,,0,0,0,I am a woman,9,7,
T52,trad,60,C+,3,5,3,2,3,5,3,3,4,3,5,5,1,1,1,4,3,5,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,1,4,4,2,1,1,1,1,5,5,5,5,3,4,5,3,4,4,4,4,5,1,1,4,4,2,2,4,4,4,18,chemical engineering,1,,0,0,1,I am a man,2,2,
T53,trad,52,A-,6,2,3,5,4,2,5,3,4,3,5,2,1,4,4,4,3,5,4,1,4,5,4,4,4,2,1,4,5,4,4,4,4,1,4,4,4,2,2,3,1,4,5,5,4,2,2,3,2,2,3,2,2,3,5,3,2,3,3,4,3,3,5,19,pharmacology and toxicology ,2,,0,0,0,I am a woman,9,7,
T54,trad,76,A-,5,3,3,5,2,3,3,5,3,3,5,3,1,3,2,4,3,5,2,1,3,3,4,3,3,3,1,3,2,4,3,5,3,1,3,2,2,3,2,2,2,4,4,5,5,4,4,5,4,4,4,4,4,4,2,1,2,3,1,1,4,4,3,19,Biology,2,,0,0,0,I am a man,2,7,
T55,trad,80,A,6,4,3,2,1,2,3,5,3,4,4,2,1,3,4,4,3,4,3,1,3,4,4,2,3,3,1,3,2,4,3,4,3,1,3,3,2,1,1,1,1,4,5,4,2,3,4,5,4,3,3,4,4,3,4,2,3,3,1,2,4,3,3,19,Chemistry,2,,0,0,0,I am a man,2,7,
T56,trad,86,A,5,5,5,4,4,6,4,4,2,3,4,2,1,4,4,4,3,4,3,1,3,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,3,1,1,2,3,5,5,5,4,3,2,4,3,3,3,2,4,2,3,2,2,2,3,2,3,3,4,19,Biochemistry,2,,0,0,0,I am a woman,9,1,
T57,trad,60,B,6,3,4,5,4,2,4,6,4,4,3,1,1,3,2,3,2,4,3,4,4,2,4,3,1,2,1,2,1,2,3,4,2,1,2,3,5,1,2,4,2,3,4,4,3,3,2,4,2,2,2,3,2,3,5,5,2,2,4,4,3,2,1,20,Plant Science,3,,0,1,0,I am a man,2,7,
T58,trad,72,A,5,4,3,3,2,2,4,5,4,4,5,3,1,5,5,5,4,5,3,1,4,4,5,4,5,3,1,4,5,5,4,5,4,2,3,5,4,2,1,2,2,2,5,5,4,3,3,4,3,4,3,3,4,3,4,2,3,3,2,1,4,2,1,19,Chemical Engineering,2,,0,0,0,I am a woman,9,7,
T60,trad,62,A,4,2,2,2,1,3,2,2,3,4,5,4,2,5,5,3,4,5,3,2,5,5,3,4,5,3,2,5,5,4,5,5,4,2,5,5,5,1,1,1,2,4,3,4,4,4,4,4,3,4,4,3,4,4,5,2,4,3,2,1,5,3,5,21,Forensic Science,2,,0,1,0,I am a woman,9,2,
T61,trad,70,A,3,5,5,3,3,3,3,4,5,3,4,2,1,4,5,5,4,5,3,1,3,4,5,4,5,2,1,3,3,5,4,5,3,1,3,4,3,2,2,1,1,4,5,4,2,4,5,5,4,4,4,5,4,4,3,2,3,4,2,3,4,2,4,19,Immunology and Infectious Disease,2,,0,0,0,I am a man,2,7,
T63,trad,76,A-,7,1,2,6,4,1,6,4,2,2,4,1,1,2,5,4,2,5,2,1,2,2,4,2,2,1,1,2,2,4,2,4,2,1,2,4,4,1,1,2,2,2,4,4,2,3,1,5,2,3,3,2,2,2,5,3,1,3,2,4,4,3,2,19,science - biological sciences and health professions option,2,,0,0,0,I am a woman,9,7,
T64,trad,72,A-,3,3,3,2,2,2,2,5,1,4,4,3,1,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,4,4,3,2,3,2,2,1,1,2,2,4,4,5,2,4,4,5,4,4,4,5,4,4,2,1,2,3,2,2,4,2,3,19,Chemistry and Business,2,,0,0,0,I am a man,2,7,
T65,trad,70,A-,,,,5,5,3,6,4,5,2,5,1,2,3,4,5,1,5,2,3,3,5,4,2,3,1,2,3,4,4,3,5,2,2,3,4,4,3,2,2,2,4,2,2,4,3,4,4,3,3,3,3,4,2,4,3,2,2,2,3,2,3,2,19,biology,2,,0,0,0,I am a woman,9,7,
T66,trad,52,C,6,6,6,3,5,2,3,5,4,2,4,3,2,3,5,4,2,5,3,2,2,4,4,2,2,3,1,2,3,4,3,4,3,3,3,4,4,2,1,2,2,2,5,5,4,3,2,4,2,4,4,4,5,3,4,2,1,2,3,1,3,5,4,20,Psych (Neuroscience),3,,0,1,0,I am a man,2,"3,7",
T67,trad,96,A,3,2,6,1,1,3,2,4,3,4,5,5,1,4,3,4,5,5,4,1,5,5,5,5,5,5,1,4,4,5,5,5,5,1,3,4,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,1,5,1,5,19,Chemistry,2,,0,1,0,I am a man,2,1,
T68,trad,62,A-,6,2,2,3,1,1,3,6,5,4,5,2,1,5,5,5,4,5,1,1,4,5,4,3,3,3,1,5,5,5,4,5,4,1,4,5,4,2,2,2,4,4,5,5,4,3,2,4,2,2,3,1,2,4,2,1,4,4,1,1,5,2,5,19,BMB,2,,0,0,0,I am a woman,9,7,
T70,trad,82,A,6,3,3,5,2,2,3,6,5,5,3,2,2,5,5,5,3,5,1,1,3,5,5,3,2,3,1,2,3,5,2,3,2,1,3,3,3,1,2,1,3,5,5,5,5,4,3,5,3,4,5,5,5,4,5,2,3,5,2,3,4,3,3,19,Biology,2,,0,0,1,I am a man,2,7,
T71,trad,48,C,5,3,3,5,3,2,5,3,4,4,5,3,2,4,4,5,3,5,4,2,4,4,4,4,4,4,1,4,4,4,4,5,4,2,4,4,4,2,1,1,2,4,4,5,5,4,3,4,4,3,4,4,3,3,3,2,3,3,2,2,4,3,3,20,Chemical Engineer,2,,0,0,1,I am a man,2,7,
T72,trad,66,A,6,3,5,3,3,3,3,2,1,4,5,3,1,5,5,2,5,4,4,1,4,5,2,3,5,1,1,5,5,1,5,5,4,1,5,4,1,3,2,3,3,4,5,5,4,3,2,5,3,3,3,4,5,4,2,1,4,4,2,1,4,2,3,19,BME,3,,0,1,0,I am a woman,9,7,
T73,trad,52,C,7,2,3,6,5,1,7,5,2,3,5,3,2,4,4,2,2,4,1,4,3,4,4,1,4,1,1,4,4,3,5,5,2,1,3,4,3,1,1,2,2,4,5,4,1,3,2,2,2,2,2,2,2,1,5,5,1,2,2,2,3,2,3,20,BSHP,3,,0,0,0,I am a woman,9,7,
T74,trad,66,A,5,2,2,5,3,3,5,3,3,2,5,1,1,2,3,5,2,5,1,1,2,2,5,2,4,3,1,3,3,5,5,5,3,1,2,3,4,2,2,2,3,4,4,4,3,3,2,3,2,3,3,3,4,3,4,3,2,3,3,2,4,3,2,19,Biomedical Engineering,2,,0,0,0,I am a woman,9,7,
T75,trad,50,B-,6,3,6,6,7,1,3,3,4,4,5,2,1,4,5,5,3,5,5,1,4,4,5,5,4,4,3,3,4,4,4,4,3,4,3,4,4,3,3,3,4,3,3,3,5,3,3,2,2,4,3,2,4,5,4,5,4,4,4,5,3,4,4,19,forensic chemistry ,2,,0,0,0,I am a man,2,7,
T76,trad,52,B+,6,2,1,5,2,1,3,3,3,4,5,3,2,5,5,5,4,5,4,3,4,5,5,4,5,4,1,5,5,5,5,5,4,1,4,5,4,2,1,2,1,4,4,5,4,3,3,4,3,2,3,3,3,3,4,2,4,3,2,3,4,3,4,19,Biochemistry and molecular biology ,2,,0,0,0,I am a woman,9,7,
T77,trad,44,C,7,1,1,5,5,1,5,1,1,2,4,1,1,2,4,1,2,5,2,1,2,4,1,2,4,1,1,2,2,1,4,4,2,1,3,4,4,4,4,4,1,5,5,5,5,3,1,3,1,3,3,1,3,1,5,3,1,1,4,5,3,5,1,20,Biology,3,,0,0,0,I am a woman,9,7,
